Term (EN),Translation (IT),Part of Speech,Description,Domain
Antitoxin (vial),Antitossina (fiala),noun,Equipment,Equipment
Armor,Armatura,,Equipment term,Equipment
Armor spikes,Spuntoni per armatura,noun,Equipment,Equipment
Arrows (20),Frecce (20),noun,Equipment,Equipment
Artisan’s outfit,Abito da artigiano,noun,Equipment,Equipment
Artisan’s tools,Attrezzi da artigiano,noun,Equipment,Equipment
"Artisan’s tools, masterwork",Attrezzi da artigiano di qualità superiore,noun,Equipment,Equipment
Average,Media,noun,Equipment,Equipment
"Axe, orc double5",Ascia doppia orchesca,noun,Equipment,Equipment
"Axe, throwing",Ascia da lancio,noun,Equipment,Equipment
Backpack (empty),Zaino (vuoto),noun,Equipment,Equipment
Banded mail,Corazza a strisce,noun,Equipment,Equipment
Banquet (per person),Banchetto (a persona),noun,Equipment,Equipment
Barding,Barda,noun,Equipment,Equipment
Barrel (empty),Barile (vuoto),noun,Equipment,Equipment
Basket (empty),Cestino (vuoto),noun,Equipment,Equipment
Battleaxe,Ascia da battaglia,noun,Equipment,Equipment
Bedroll,Sacco a pelo,noun,Equipment,Equipment
Bell,Campanella,noun,Equipment,Equipment
Bit and bridle,Morso e briglie,noun,Equipment,Equipment
"Blanket, winter",Coperta invernale,noun,Equipment,Equipment
Block and tackle,Paranco,noun,Equipment,Equipment
Bludgeoning,Contundente,,Equipment term,Equipment
Bolts (10),Quadrelli (10),noun,Equipment,Equipment
Bolts (5),Quadrelli (5),noun,Equipment,Equipment
"Bolts, crossbow (10)",Quadrelli da balestra (10),noun,Equipment,Equipment
"Bottle, wine, glass",Bottiglia di vetro per vino,noun,Equipment,Equipment
"Bread, per loaf","Pane, per pagnotta",noun,Equipment,Equipment
Breastplate,Corazza,noun,Equipment,Equipment
Bucket (empty),Secchio (vuoto),noun,Equipment,Equipment
Buckler,Brocchiere,noun,Equipment,Equipment
"Bullets, sling (10)",Proiettili da fionda (10),noun,Equipment,Equipment
Caltrops,Triboli,noun,Equipment,Equipment
Candle,Candela,noun,Equipment,Equipment
Canvas (sq. yd.),Tela (mq),noun,Equipment,Equipment
Carriage,Carrozza,noun,Equipment,Equipment
Cart,Carro,noun,Equipment,Equipment
"Case, map or scroll",Astuccio per mappe o pergamene,noun,Equipment,Equipment
Chain (10 ft.),Catena (3 m),noun,Equipment,Equipment
Chain shirt,Giaco di maglia,noun,Equipment,Equipment
"Chain, spiked4",Catena chiodata,noun,Equipment,Equipment
Chainmail,Cotta di maglia,noun,Equipment,Equipment
"Chalk, 1 piece","Gesso, 1 pezzo",noun,Equipment,Equipment
"Cheese, hunk of","Formaggio, pezzo",noun,Equipment,Equipment
Chest (empty),Forziere (vuoto),noun,Equipment,Equipment
Cleric’s vestments,Paramenti clericali,noun,Equipment,Equipment
Climber’s kit,Kit da scalatore,noun,Equipment,Equipment
Club,Randello,noun,Equipment,Equipment
Coach cab,Carrozza a noleggio,noun,Equipment,Equipment
Cold weather outfit,Abito per climi freddi,noun,Equipment,Equipment
Common,Comune,noun,Equipment,Equipment
Common (pitcher),Comune (brocca),noun,Equipment,Equipment
Copper Pieces,Monete di Rame,,Equipment term,Equipment
Courtier’s outfit,Abito da cortigiano,noun,Equipment,Equipment
CP,MR,,Equipment term,Equipment
"Crossbow, hand",Balestra a mano,noun,Equipment,Equipment
"Crossbow, heavy",Balestra pesante,noun,Equipment,Equipment
"Crossbow, light",Balestra leggera,noun,Equipment,Equipment
"Crossbow,repeating heavy",Balestra pesante a ripetizione,noun,Equipment,Equipment
"Crossbow,repeating light",Balestra leggera a ripetizione,noun,Equipment,Equipment
Crowbar,Piede di porco,noun,Equipment,Equipment
Dagger,Pugnale,noun,Equipment,Equipment
"Dagger, punching",Pugnale da presa,noun,Equipment,Equipment
Dart,Dardo,noun,Equipment,Equipment
Disguise kit,Kit per travestimento,noun,Equipment,Equipment
"Dog, guard",Cane da guardia,noun,Equipment,Equipment
"Dog, riding",Cane da sella,noun,Equipment,Equipment
Donkey or mule,Asino o mulo,noun,Equipment,Equipment
Enchantment Bonus,Bonus di Potenziamento,,Equipment term,Equipment
Entertainer’s outfit,Abito da intrattenitore,noun,Equipment,Equipment
Everburning torch,Torcia perenne,noun,Equipment,Equipment
Exotic Weapon,Arma Esotica,,Equipment term,Equipment
Explorer’s outfit,Abito da esploratore,noun,Equipment,Equipment
Extras,Extra,noun,Equipment,Equipment
Falchion,Falcione,noun,Equipment,Equipment
Feed (per day),Mangime (al giorno),noun,Equipment,Equipment
Fine (bottle),Pregiato (bottiglia),noun,Equipment,Equipment
Firewood (per day),Legna da ardere (al giorno),noun,Equipment,Equipment
Fishhook,Amo da pesca,noun,Equipment,Equipment
"Fishing net, 25 sq. ft.","Rete da pesca, 2,5 mq",noun,Equipment,Equipment
Flail,Mazzafrusto,noun,Equipment,Equipment
"Flail, dire5",Mazzafrusto doppio,noun,Equipment,Equipment
"Flail, heavy",Mazzafrusto pesante,noun,Equipment,Equipment
Flask (empty),Fiaschetta (vuota),noun,Equipment,Equipment
Flint and steel,Acciarino e pietra focaia,noun,Equipment,Equipment
Full plate,Armatura completa,noun,Equipment,Equipment
Galley,Galea,noun,Equipment,Equipment
Gallon,Gallone,noun,Equipment,Equipment
Gauntlet,Guanto,noun,Equipment,Equipment
"Gauntlet, locked",Guanto bloccato,noun,Equipment,Equipment
"Gauntlet, spiked",Guanto chiodato,noun,Equipment,Equipment
Glaive4,Falcione d'armi,noun,Equipment,Equipment
Gold Pieces,Monete d'Oro,,Equipment term,Equipment
GP,MO,,Equipment term,Equipment
Grappling hook,Rampino,noun,Equipment,Equipment
Greataxe,Ascia bipenne,noun,Equipment,Equipment
Greatclub,Randello pesante,noun,Equipment,Equipment
Greatsword,Spadone,noun,Equipment,Equipment
Guisarme4,Guisarma,noun,Equipment,Equipment
Halberd,Alabarda,noun,Equipment,Equipment
Half-plate,Mezza armatura,noun,Equipment,Equipment
Hammer,Martello,noun,Equipment,Equipment
"Hammer, light",Martello leggero,noun,Equipment,Equipment
"Hammer,gnome hooked5",Martello-uncino gnomesco,noun,Equipment,Equipment
Handaxe,Accetta,noun,Equipment,Equipment
Healer’s kit,Kit da guaritore,noun,Equipment,Equipment
Heavy armor,Armatura pesante,noun,Equipment,Equipment
"Hireling, trained",Mercenario addestrato,noun,Equipment,Equipment
"Hireling, untrained",Mercenario non addestrato,noun,Equipment,Equipment
Holly and mistletoe,Agrifoglio e vischio,noun,Equipment,Equipment
"Holy symbol, silver",Simbolo sacro d'argento,noun,Equipment,Equipment
"Holy symbol, wooden",Simbolo sacro di legno,noun,Equipment,Equipment
Holy water (flask),Acqua santa (fiasca),noun,Equipment,Equipment
Horse,Cavallo,noun,Equipment,Equipment
"Horse, heavy",Cavallo pesante,noun,Equipment,Equipment
"Horse, light",Cavallo leggero,noun,Equipment,Equipment
Hourglass,Clessidra,noun,Equipment,Equipment
Ink (1 oz. vial),Inchiostro (fiala da 30 ml),noun,Equipment,Equipment
Inkpen,Penna a inchiostro,noun,Equipment,Equipment
Inn stay (per day),Soggiorno alla locanda (al giorno),noun,Equipment,Equipment
Javelin,Giavellotto,noun,Equipment,Equipment
"Jug, clay",Brocca di terracotta,noun,Equipment,Equipment
Keelboat,Barca a chiglia,noun,Equipment,Equipment
"Ladder, 10-foot","Scala, 3 metri",noun,Equipment,Equipment
"Lamp, common",Lampada comune,noun,Equipment,Equipment
Lance4,Lancia da cavaliere,noun,Equipment,Equipment
"Lantern, bullseye",Lanterna schermata,noun,Equipment,Equipment
"Lantern, hooded",Lanterna con cappuccio,noun,Equipment,Equipment
Large creature,Creatura grande,noun,Equipment,Equipment
Leather,Cuoio,noun,Equipment,Equipment
Light armor,Armatura leggera,noun,Equipment,Equipment
Light Weapon,Arma Leggera,,Equipment term,Equipment
Lock,Serratura,noun,Equipment,Equipment
Longbow,Arco lungo,noun,Equipment,Equipment
"Longbow, composite",Arco lungo composito,noun,Equipment,Equipment
Longship,Drakkar,noun,Equipment,Equipment
Longspear4,Lancia lunga,noun,Equipment,Equipment
Longsword,Spada lunga,noun,Equipment,Equipment
"Mace, heavy",Mazza pesante,noun,Equipment,Equipment
"Mace, light",Mazza leggera,noun,Equipment,Equipment
Magic Item,Oggetto Magico,,Equipment term,Equipment
Magnifying glass,Lente d'ingrandimento,noun,Equipment,Equipment
Manacles,Manette,noun,Equipment,Equipment
"Manacles, masterwork",Manette di qualità superiore,noun,Equipment,Equipment
Martial Weapon,Arma da Guerra,,Equipment term,Equipment
Masterwork,Perfetto,,Equipment term,Equipment
Meals (per day),Pasti (al giorno),noun,Equipment,Equipment
"Meat, chunk of","Carne, pezzo",noun,Equipment,Equipment
Medium armor,Armatura media,noun,Equipment,Equipment
Medium creature,Creatura media,noun,Equipment,Equipment
Messenger,Messaggero,noun,Equipment,Equipment
Military,Militare,noun,Equipment,Equipment
"Mirror, small steel",Specchio piccolo d'acciaio,noun,Equipment,Equipment
Monk’s outfit,Abito da monaco,noun,Equipment,Equipment
Morningstar,Stella del mattino,noun,Equipment,Equipment
Mug,Boccale,noun,Equipment,Equipment
"Mug/Tankard, clay",Boccale di terracotta,noun,Equipment,Equipment
"Musical instrument, common",Strumento musicale comune,noun,Equipment,Equipment
"Musical instrument, masterwork",Strumento musicale di qualità superiore,noun,Equipment,Equipment
Net,Rete,noun,Equipment,Equipment
Noble’s outfit,Abito da nobile,noun,Equipment,Equipment
Oar,Remo,noun,Equipment,Equipment
Oil (1-pint flask),Olio (fiasca da mezzo litro),noun,Equipment,Equipment
One-Handed,A Una Mano,,Equipment term,Equipment
Pack,Da soma,noun,Equipment,Equipment
Padded,Imbottita,noun,Equipment,Equipment
Paper (sheet),Carta (foglio),noun,Equipment,Equipment
Parchment (sheet),Pergamena (foglio),noun,Equipment,Equipment
Peasant’s outfit,Abito da contadino,noun,Equipment,Equipment
"Pick, heavy",Piccone pesante,noun,Equipment,Equipment
"Pick, light",Piccone leggero,noun,Equipment,Equipment
"Pick, miner’s",Piccone da minatore,noun,Equipment,Equipment
Piercing,Perforante,,Equipment term,Equipment
"Pitcher, clay",Brocca di terracotta,noun,Equipment,Equipment
Piton,Chiodo da roccia,noun,Equipment,Equipment
Platinum Pieces,Monete di Platino,,Equipment term,Equipment
"Pole, 10-foot","Pertica, 3 metri",noun,Equipment,Equipment
Poor,Scadente,noun,Equipment,Equipment
"Pot, iron",Pentola di ferro,noun,Equipment,Equipment
Potion,Pozione,,Equipment term,Equipment
"Pouch, belt (empty)",Borsa da cintura (vuota),noun,Equipment,Equipment
PP,MP,,Equipment term,Equipment
Quarterstaff5,Bastone ferrato,noun,Equipment,Equipment
"Ram, portable",Ariete portatile,noun,Equipment,Equipment
Ranseur4,Ranseur,noun,Equipment,Equipment
Rapier,Stocco,noun,Equipment,Equipment
"Rations, trail (per day)",Razioni da viaggio (al giorno),noun,Equipment,Equipment
Riding,Da cavalcatura,noun,Equipment,Equipment
Ring,Anello,,Equipment term,Equipment
Road or gate toll,Pedaggio stradale o di porta,noun,Equipment,Equipment
Rod,Verga,,Equipment term,Equipment
"Rope, hempen (50 ft.)",Corda di canapa (15 m),noun,Equipment,Equipment
"Rope, silk (50 ft.)",Corda di seta (15 m),noun,Equipment,Equipment
Rowboat,Barca a remi,noun,Equipment,Equipment
Royal outfit,Abito reale,noun,Equipment,Equipment
Sack (empty),Sacco (vuoto),noun,Equipment,Equipment
Saddle,Sella,noun,Equipment,Equipment
"Saddle, Exotic",Sella esotica,noun,Equipment,Equipment
Saddlebags,Bisacce da sella,noun,Equipment,Equipment
Sailing ship,Veliero,noun,Equipment,Equipment
Sap,Manganello,noun,Equipment,Equipment
Scale mail,Corazza di scaglie,noun,Equipment,Equipment
"Scale, merchant’s",Bilancia da mercante,noun,Equipment,Equipment
Scholar’s outfit,Abito da studioso,noun,Equipment,Equipment
Scimitar,Scimitarra,noun,Equipment,Equipment
Scroll,Pergamena,,Equipment term,Equipment
Scythe,Falce,noun,Equipment,Equipment
Sealing wax,Ceralacca,noun,Equipment,Equipment
Sewing needle,Ago da cucito,noun,Equipment,Equipment
Shield spikes,Spuntoni per scudo,noun,Equipment,Equipment
"Shield, heavy",Scudo pesante,noun,Equipment,Equipment
"Shield, heavy steel",Scudo pesante d'acciaio,noun,Equipment,Equipment
"Shield, heavy wooden",Scudo pesante di legno,noun,Equipment,Equipment
"Shield, light",Scudo leggero,noun,Equipment,Equipment
"Shield, light steel",Scudo leggero d'acciaio,noun,Equipment,Equipment
"Shield, light wooden",Scudo leggero di legno,noun,Equipment,Equipment
"Shield, tower",Scudo torre,noun,Equipment,Equipment
Shields,Scudi,noun,Equipment,Equipment
Ship’s passage,Passaggio su nave,noun,Equipment,Equipment
Shortbow,Arco corto,noun,Equipment,Equipment
"Shortbow, composite",Arco corto composito,noun,Equipment,Equipment
Shortspear,Lancia corta,noun,Equipment,Equipment
Sickle,Falcetto,noun,Equipment,Equipment
Signal whistle,Fischietto,noun,Equipment,Equipment
Signet ring,Anello con sigillo,noun,Equipment,Equipment
Silver Pieces,Monete d'Argento,,Equipment term,Equipment
Simple Weapon,Arma Semplice,,Equipment term,Equipment
Slashing,Tagliente,,Equipment term,Equipment
Sled,Slitta,noun,Equipment,Equipment
Sledge,Mazza da fabbro,noun,Equipment,Equipment
Sling,Fionda,noun,Equipment,Equipment
Smokestick,Bastone fumogeno,noun,Equipment,Equipment
Soap (per lb.),Sapone (per libbra),noun,Equipment,Equipment
Spade or shovel,Vanga o pala,noun,Equipment,Equipment
Spear,Lancia,noun,Equipment,Equipment
Spell component pouch,Borsa per componenti,noun,Equipment,Equipment
"Spell, 0-level","Incantesimo, livello 0",noun,Equipment,Equipment
"Spell, 1st-level","Incantesimo, livello 1",noun,Equipment,Equipment
"Spell, 2nd-level","Incantesimo, livello 2",noun,Equipment,Equipment
"Spell, 3rd-level","Incantesimo, livello 3",noun,Equipment,Equipment
"Spell, 4th-level","Incantesimo, livello 4",noun,Equipment,Equipment
"Spell, 5th-level","Incantesimo, livello 5",noun,Equipment,Equipment
"Spell, 6th-level","Incantesimo, livello 6",noun,Equipment,Equipment
"Spell, 7th-level","Incantesimo, livello 7",noun,Equipment,Equipment
"Spell, 8th-level","Incantesimo, livello 8",noun,Equipment,Equipment
"Spell, 9th-level","Incantesimo, livello 9",noun,Equipment,Equipment
"Spellbook, wizard’s (blank)",Libro degli incantesimi (vuoto),noun,Equipment,Equipment
Spiked armor,Armatura chiodata,noun,Equipment,Equipment
"Spiked shield, heavy",Scudo pesante chiodato,noun,Equipment,Equipment
"Spiked shield, light",Scudo leggero chiodato,noun,Equipment,Equipment
Splint mail,Corazza di bande,noun,Equipment,Equipment
Spyglass,Cannocchiale,noun,Equipment,Equipment
Stabling (per day),Stalla (al giorno),noun,Equipment,Equipment
Staff,Bastone,,Equipment term,Equipment
Studded leather,Cuoio borchiato,noun,Equipment,Equipment
Sunrod,Bastoncino solare,noun,Equipment,Equipment
"Sword, bastard",Spada bastarda,noun,Equipment,Equipment
"Sword, short",Spada corta,noun,Equipment,Equipment
"Sword, two-bladed5",Spada a due lame,noun,Equipment,Equipment
Tanglefoot bag,Borsa intralciante,noun,Equipment,Equipment
Tent,Tenda,noun,Equipment,Equipment
Thieves’ tools,Attrezzi da scasso,noun,Equipment,Equipment
"Thieves’ tools, masterwork",Attrezzi da scasso di qualità superiore,noun,Equipment,Equipment
Thunderstone,Pietra del tuono,noun,Equipment,Equipment
Tindertwig,Ramoscello incendiario,noun,Equipment,Equipment
"Tool, masterwork",Attrezzo di qualità superiore,noun,Equipment,Equipment
Torch,Torcia,noun,Equipment,Equipment
Traveler’s outfit,Abito da viaggio,noun,Equipment,Equipment
Trident,Tridente,noun,Equipment,Equipment
Two-Handed,A Due Mani,,Equipment term,Equipment
Unarmed strike,Colpo senz'armi,noun,Equipment,Equipment
"Urgrosh, dwarven5",Urgrosh nanico,noun,Equipment,Equipment
Very simple,Molto semplice,noun,Equipment,Equipment
"Vial, ink or potion",Fiala per inchiostro o pozione,noun,Equipment,Equipment
Wagon,Carro da trasporto,noun,Equipment,Equipment
Wand,Bacchetta,,Equipment term,Equipment
"Waraxe, dwarven",Ascia da guerra nanica,noun,Equipment,Equipment
Warhammer,Martello da guerra,noun,Equipment,Equipment
"Warhorse, heavy",Destriero pesante,noun,Equipment,Equipment
"Warhorse, light",Destriero leggero,noun,Equipment,Equipment
Warpony,Pony da guerra,noun,Equipment,Equipment
Warship,Nave da guerra,noun,Equipment,Equipment
Water clock,Orologio ad acqua,noun,Equipment,Equipment
Waterskin,Otre,noun,Equipment,Equipment
Weapon,Arma,,Equipment term,Equipment
Weapons,Armi,,Equipment term,Equipment
Whetstone,Pietra per affilare,noun,Equipment,Equipment
Whip4,Frusta,noun,Equipment,Equipment
Wine,Vino,noun,Equipment,Equipment
Wondrous Item,Oggetto Meraviglioso,,Equipment term,Equipment
Abjuration,Abiurazione,noun,School of magic,Magic
Acid,Acido,adj,Spell descriptor / energy type,Magic
Air,Aria,adj,Spell descriptor / energy type,Magic
Air Domain,Dominio dell'Aria,noun,Cleric domain,Magic
Animal Domain,Dominio degli Animali,noun,Cleric domain,Magic
Arcane,Arcano,,Magic term,Magic
Calling,Richiamo,noun,Subschool of magic,Magic
Cantrip,Trucchetto,,Magic term,Magic
Caster Level,Livello Incantatore,,Magic term,Magic
Casting Time,Tempo di Lancio,,Magic term,Magic
Chaos Domain,Dominio del Caos,noun,Cleric domain,Magic
Chaotic,Caotico,adj,Spell descriptor / energy type,Magic
Charm,Charme,noun,Subschool of magic,Magic
CL,LI,,Magic term,Magic
Close,Vicino,,Magic term,Magic
Cold,Freddo,adj,Spell descriptor / energy type,Magic
Components,Componenti,,Magic term,Magic
Compulsion,Compulsione,noun,Subschool of magic,Magic
Conjuration,Evocazione,noun,School of magic,Magic
Counterspell,Controincantesimo,,Magic term,Magic
Creation,Creazione,noun,Subschool of magic,Magic
Darkness,Oscurita,adj,Spell descriptor / energy type,Magic
Death,Morte,adj,Spell descriptor / energy type,Magic
Death Domain,Dominio della Morte,noun,Cleric domain,Magic
Destruction Domain,Dominio della Distruzione,noun,Cleric domain,Magic
Dismissible,Congedabile,,Magic term,Magic
Dispel,Dissoluzione,,Magic term,Magic
Divination,Divinazione,noun,School of magic,Magic
Divine,Divino,,Magic term,Magic
Divine Focus,Focus Divino,,Magic term,Magic
Domain,Dominio,,Magic term,Magic
Duration,Durata,,Magic term,Magic
Earth,Terra,adj,Spell descriptor / energy type,Magic
Earth Domain,Dominio della Terra,noun,Cleric domain,Magic
Effect,Effetto,,Magic term,Magic
Electricity,Elettricita,adj,Spell descriptor / energy type,Magic
Enchantment,Ammaliamento,noun,School of magic,Magic
Evil,Malvagio,adj,Spell descriptor / energy type,Magic
Evil Domain,Dominio del Male,noun,Cleric domain,Magic
Evocation,Invocazione,noun,School of magic,Magic
Ex,Str,,Magic term,Magic
Extraordinary Ability,Capacita Straordinaria,,Magic term,Magic
Fear,Paura,adj,Spell descriptor / energy type,Magic
Figment,Finzione,noun,Subschool of magic,Magic
Fire,Fuoco,adj,Spell descriptor / energy type,Magic
Fire Domain,Dominio del Fuoco,noun,Cleric domain,Magic
Force,Forza,adj,Spell descriptor / energy type,Magic
Fortitude half,Tempra dimezza,,Magic term,Magic
Glamer,Mascheramento,noun,Subschool of magic,Magic
